empno,bonus
359,4127
360,3384
361,4558
362,3129
363,2902
364,4059
365,3581
366,3431
367,2533
368,3098
369,4471
370,4620
371,3569
372,2305
373,2122
374,2024
375,4623
376,4375
377,3709
378,4813
379,1309
380,3774
381,3256
382,3614
383,1252
384,1410
385,1677
386,1445
387,1423
388,4988
389,3339
390,2080
391,1627
392,1152
393,2234
394,3289
395,4869
396,3332
397,1536
398,4284
399,2461
400,3561
401,1204
402,2455
403,4204
404,1180
405,1428
406,4705
407,3659
408,4811
409,1987
410,2110
411,3742
412,4460
413,3137
414,4188
415,4892
416,3567
417,4734
418,2382
419,1791
420,4506
421,2251
422,2152
423,1005
424,1492
425,1257
426,4941
427,4572
428,1641
429,1791
430,2813
431,2012
432,2203
433,2263
434,1268
435,2977
436,1187
437,3691
438,1512
439,3358
440,2165
441,4563
442,3509
443,2240
444,4310
445,2946
446,3075
447,2602
448,3047
449,1578
450,2750
451,4508
452,3410
453,1415
454,1499
455,2361
456,1249
457,1595
458,1749
459,1509
460,2747
461,4770
462,4190
463,1564
464,1747
465,4772
466,1467
467,1182
468,1255
469,2212
470,2339
471,2528
472,3614
473,3221
474,3587
475,3097
476,2962
477,1166
478,4993
479,4080
480,1858
481,3933
482,1212
483,3031
484,3279
485,1481
486,3157
487,1921
488,4439
489,2950
490,3471
491,4567
492,3891
493,2061
494,4664
495,2267
496,1793
497,2117
498,1244
499,4994
500,3632
501,1857
502,4861
503,2590
504,3668
505,3085
506,2142
507,3177
508,2387
509,4704
510,2332
511,2890
512,4423
513,4120
514,2638
515,1680
516,1823
517,2573
518,2313
519,1111
520,1541
521,1903
522,4537
523,1954
524,4694
525,2694
526,2590
527,4648
528,2798
529,3913
530,4815
531,2524
532,1558
533,4140
534,1489
535,4751
536,1318
537,3802
538,3888
539,2418
540,3275
541,2485
542,1192
543,2483
544,4202
545,3499
546,1529
547,3870
548,4598
549,3507
550,3918
551,3910
552,4140
553,4793
554,3160
555,1764
556,2889
557,2491
558,2436
559,4573
560,3084
561,1807
562,3433
563,1318
564,3193
565,1745
566,2058
567,1887
568,3041
569,1663
570,4677
571,2276
572,4641
573,1981
574,4718
575,3207
576,3424
577,4597
578,2272
579,2245
580,4226
581,4508
582,2713
583,2163
584,2526
585,4769
586,2708
587,1859
588,1308
589,3032
590,2123
591,1608
592,3716
593,3867
594,3152
595,4144
596,4038
597,2006
598,3665
599,3903
600,4402
601,4027
602,3908
603,2901
604,1358
605,4400
606,1759
607,4748
608,4182
609,3186
610,2117
611,4690
612,2771
613,4487
614,3630
615,1876
616,3609
617,4548
618,3405
619,4557
620,4759
621,1776
622,3611
623,3642
624,4784
625,4048
626,2524
627,4624
628,1835
629,4368
630,3788
631,4999
632,3481
633,4232
634,2359
635,2867
636,4836
637,4225
638,3768
639,3561
640,3682
641,4094
642,3370
643,4532
644,4899
645,4884
646,2717
647,4924
648,4209
649,4483
650,4418
651,2228
652,3481
653,1605
654,1809
655,4643
656,3205
657,1600
658,3068
659,1255
660,4248
661,1761
662,1659
663,1102
664,2016
665,2455
666,3164
667,2980
668,1876
669,3286
670,2497
671,3668
672,3031
673,2004
674,2754
675,3273
676,4173
677,1086
678,2233
679,1878
680,2075
681,4308
682,3592
683,1860
684,2532
685,1493
686,3861
687,2566
688,2487
689,1018
690,3843
691,1890
692,4110
693,1374
694,3664
695,4063
696,4293
697,1853
698,2186
699,3035
700,3189
701,2746
702,2043
703,4290
704,3473
705,3345
706,2063
707,2475
708,1990
709,4849
710,2227
711,1389
712,2661
713,3959
714,3302
715,3084
716,4922
717,4821
718,4013
719,1931
720,2144
721,3187
722,1114
723,3809
724,4192
725,1032
726,1152
727,1627
728,3105
729,2177
730,2006
731,4711
732,2256
733,3219
734,3274
735,3424
736,3148
737,1622
738,2872
739,2845
740,4536
741,3128
742,4336
743,4150
744,4973
745,1311
746,3126
747,3467
748,1911
749,1851
750,1150
751,1011
752,1599
753,4559
754,2709
755,1036
756,2423
757,2394
758,4807
759,1394
760,3676
761,4248
762,2061
763,1192
764,4462
765,2749
766,4739
767,2933
768,1051
769,1044
770,3453
771,1355
772,2461
773,3428
774,1886
775,4577
776,4987
777,4646
778,1028
779,3915
780,3449
781,4944
782,3820
783,4875
784,1924
785,1179
786,2369
787,1469
788,4478
789,3918
790,1645
791,1412
792,1091
793,4972
794,4443
795,4711
796,4530
797,2593
798,3610
799,1145
800,3396
801,3544
802,2936
803,2466
804,2263
805,2851
806,2237
807,1467
808,2413
809,4540
810,4717
811,3816
812,3634
813,4224
814,2361
815,2593
816,4367
817,1720
818,2805
819,1333
820,3549
821,3173
822,3606
823,3189
824,3383
825,2749
826,1119
827,1981
828,4381
829,2390
830,2088
831,1683
832,3549
833,3860
834,4562
835,1417
836,1824
837,3611
838,4905
839,1353
840,2033
841,4800
842,2054
843,4331
844,2123
845,4223
846,4070
847,1288
848,2003
849,3102
850,1609
851,1360
852,3884
853,2205
854,3672
855,2355
856,1034
857,4191
858,1782
859,1747
860,1932
861,2089
862,3630
863,4046
864,2563
865,1330
866,1019
867,1478
868,1527
869,1425
870,5000
871,3027
872,2355
873,4953
874,3074
875,2066
876,1402
877,3018
878,3335
879,1918
880,2259
881,4250
882,4817
883,2800
884,3472
885,4698
886,3693
887,3836
888,4444
889,4014
890,1644
891,3032
892,4109
893,4169
894,1764
895,3396
896,1562
897,1325
898,2794
899,1308
900,2612
901,1793
902,2172
903,3474
904,3140
905,2884
906,1897
907,1416
908,1386
909,3263
910,3265
911,4843
912,1119
913,3105
914,4232
915,1783
916,1852
917,3730
918,4145
919,3635
920,1717
921,1459
922,1641
923,3732
924,4667
925,2221
926,3528
927,4189
928,3705
929,1583
930,3621
931,1961
932,3251
933,3512
934,2159
935,3460
936,1087
937,4376
938,1724
939,4167
940,1777
941,1428
942,3674
943,3066
944,4948
945,2371
946,2873
947,3979
948,4766
949,4266
950,2766
951,3648
952,2136
953,4577
954,4591
955,4031
956,4963
957,4552
958,4034
959,4959
960,3310
961,1507
962,3710
963,2781
964,4502
965,4986
966,2902
967,1130
968,1563
969,4107
970,4546
971,3338
972,1287
973,4702
974,2841
975,2079
976,4652
977,4468
978,1277
979,3424
980,3010
981,4179
982,4209
983,4703
984,2999
985,4812
986,4055
987,1906
988,2112
989,4758
990,2732
991,4909
992,3313
993,4664
994,3153
995,4230
996,4377
997,4302
998,1433
999,3892
1000,4731
